user_number,TP,TN,FP,FN
1218,0,355,1,0
1219,0,355,1,0
1220,0,21,1,0
1221,0,354,1,0
1222,0,508,1,0
1223,0,359,1,0
1224,0,359,1,0
1225,0,355,1,0
1226,0,355,1,0
1227,0,354,1,0
1228,0,356,1,0
1229,0,354,1,0
1230,0,354,1,0
1231,0,356,1,0
1232,0,130,1,0
1233,0,480,1,0
1234,0,355,1,0
1235,0,355,2,0
1236,0,354,1,0
1237,0,356,1,0
1238,0,452,1,0
1239,0,354,1,0
1240,0,355,1,0
1241,24,234,3,1
1242,0,354,1,0
1243,0,354,1,0
1244,0,354,1,0
1245,0,453,1,0
1246,0,355,1,0
1247,0,354,1,0
1248,0,354,1,0
1249,0,354,1,0
1250,0,65,1,0
1251,0,354,1,0
1252,0,418,1,0
1253,0,354,1,0
1254,0,354,1,0
1255,0,355,1,0
1256,0,355,1,0
1257,0,124,1,0
1258,0,355,1,0
1259,0,354,1,0
1260,0,355,1,0
1261,0,354,1,0
1262,0,354,1,0
1263,0,355,1,0
1264,0,355,1,0
1265,0,354,1,0
1266,0,359,1,0
1267,0,295,1,0
1268,0,354,1,0
1269,0,354,1,0
1270,0,354,1,0
1271,0,355,1,0
1272,0,354,1,0
1273,0,354,1,0
1274,22,162,3,9
1275,0,356,1,0
1276,0,354,1,0
1277,0,353,2,0
1278,0,354,1,0
1279,0,356,1,0
1280,0,356,1,0
1281,0,355,1,0
1282,0,354,1,0
1283,0,354,1,0
1284,0,354,1,0
1285,0,355,1,0
1286,0,354,1,0
1287,0,354,1,0
1288,26,153,1,4
1289,0,354,1,0
1290,0,354,1,0
1291,0,354,1,0
1292,0,354,1,0
1293,0,354,1,0
1294,0,354,1,0
1295,0,321,1,0
1296,0,195,1,0
1297,25,233,8,0
1298,0,354,1,0
1299,0,355,1,0
1300,0,355,1,0
1301,0,185,1,0
1302,0,354,1,0
1303,0,354,1,0
1304,0,355,1,0
1305,0,354,1,0
1306,0,354,1,0
1307,0,354,1,0
1308,0,354,1,0
1309,0,354,1,0
1310,2,214,0,0
1311,0,57,2,0
1312,0,354,1,0
1313,0,252,1,0
1314,0,354,1,0
1315,0,355,1,0
1316,0,355,1,0
1317,12,343,0,0
1318,0,354,1,0
1319,0,361,1,0
1320,0,394,1,0
1321,0,410,1,0
1322,0,364,1,0
1323,0,354,1,0
1324,0,357,1,0
1325,0,366,1,0
1326,0,354,1,0
1327,0,445,1,0
1328,0,354,1,0
1329,0,356,1,0
1330,0,354,1,0
1331,0,354,1,0
1332,0,115,1,0
1333,0,354,1,0
1334,0,354,1,0
1335,0,354,1,0
1336,0,356,1,0
1337,0,355,1,0
1338,0,354,1,0
1339,0,354,1,0
1340,0,355,1,0
1341,0,356,1,0
1342,0,354,1,0
1343,0,151,1,0
1344,0,355,1,0
1345,0,354,1,0
1346,0,354,1,0
1347,0,354,1,0
1348,0,354,1,0
1349,0,386,1,0
1350,0,354,2,0
1351,0,355,1,0
1352,0,356,1,0
1353,2,116,0,0
1354,0,355,1,0
1355,0,355,1,0
